run,config,seed,epoch,threshold,dice,traced
A_dice_clw1_s3,A_dice_clw1,3,10,0.825,0.7943993409630716,0.15579866253521152
A_dice_clw1_s3,A_dice_clw1,3,10,0.85,0.7873636943627281,0.1363469664854363
A_dice_clw1_s3,A_dice_clw1,3,10,0.875,0.7780447483291697,0.11916673347737086
A_dice_clw1_s3,A_dice_clw1,3,10,0.9,0.7650835602677097,0.10501770445793478
A_dice_clw1_s4,A_dice_clw1,4,10,0.1,0.7888930142142614,0.5060736004843236
A_dice_clw1_s4,A_dice_clw1,4,10,0.125,0.796550577571981,0.4815198352233172
A_dice_clw1_s4,A_dice_clw1,4,10,0.15,0.8017746575770842,0.4646099079744827
A_dice_clw1_s4,A_dice_clw1,4,10,0.175,0.8056576562021094,0.45337533655565093
A_dice_clw1_s4,A_dice_clw1,4,10,0.2,0.8086944260624482,0.4301326521828392
A_dice_clw1_s4,A_dice_clw1,4,10,0.225,0.8111261446434409,0.41701201989678705
A_dice_clw1_s4,A_dice_clw1,4,10,0.25,0.8128459275881386,0.40516764069334277
A_dice_clw1_s4,A_dice_clw1,4,10,0.275,0.8143724112943734,0.3916706568450312
A_dice_clw1_s4,A_dice_clw1,4,10,0.3,0.8155423778898543,0.37766956027776516
A_dice_clw1_s4,A_dice_clw1,4,10,0.325,0.8165337285787893,0.3634398839994937
A_dice_clw1_s4,A_dice_clw1,4,10,0.35,0.8172144997902561,0.3468771670376543
A_dice_clw1_s4,A_dice_clw1,4,10,0.375,0.8178384310213525,0.3381239195745955
A_dice_clw1_s4,A_dice_clw1,4,10,0.4,0.818029856250843,0.3283632167280257
A_dice_clw1_s4,A_dice_clw1,4,10,0.425,0.8182261928906092,0.30944881968890575
A_dice_clw1_s4,A_dice_clw1,4,10,0.45,0.8182021820823622,0.29970162275538914
A_dice_clw1_s4,A_dice_clw1,4,10,0.475,0.8179885501765529,0.2893629196701491
A_dice_clw1_s4,A_dice_clw1,4,10,0.5,0.8176121129278167,0.27731775040385714
A_dice_clw1_s4,A_dice_clw1,4,10,0.525,0.8171556566752207,0.2600352283466068
A_dice_clw1_s4,A_dice_clw1,4,10,0.55,0.8164236194968106,0.25304077842483697
A_dice_clw1_s4,A_dice_clw1,4,10,0.575,0.8156896118628598,0.24530734194017106
A_dice_clw1_s4,A_dice_clw1,4,10,0.6,0.8146023064327528,0.2379890341321023
A_dice_clw1_s4,A_dice_clw1,4,10,0.625,0.8133774534245954,0.21661198620939487
A_dice_clw1_s4,A_dice_clw1,4,10,0.65,0.8119338913930028,0.21238822685873374
A_dice_clw1_s4,A_dice_clw1,4,10,0.675,0.810110686906944,0.1910389684311396
A_dice_clw1_s4,A_dice_clw1,4,10,0.7,0.807887994636342,0.17088374382458965
A_dice_clw1_s4,A_dice_clw1,4,10,0.725,0.8049123740705205,0.16328130400821445
