config,run,seed,variant,image,dice,cldice,betti0_err,erl,skel_px
A_dice,A_dice_s1,1,swa_tta,02,0.85605,0.85695,65.0,4305.211,9289
A_dice,A_dice_s1,1,swa_tta,03,0.79692,0.78544,62.0,538.458,9221
A_dice,A_dice_s1,1,swa_tta,04,0.82952,0.79368,43.0,2533.498,8926
A_dice,A_dice_s1,1,swa_tta,05,0.8055,0.77602,47.0,2201.116,9586
A_dice,A_dice_s1,1,swa_tta,06,0.78828,0.7582,52.0,2050.508,9989
A_dice,A_dice_s1,1,swa_tta,07,0.81531,0.8065,63.0,2765.501,8968
A_dice,A_dice_s1,1,swa_tta,08,0.78812,0.77492,54.0,708.837,8585
A_dice,A_dice_s1,1,swa_tta,09,0.79872,0.79675,63.0,773.947,8726
A_dice,A_dice_s1,1,swa_tta,10,0.80677,0.77506,53.0,2357.913,9137
A_dice,A_dice_s1,1,swa_tta,11,0.81435,0.78136,56.0,2888.489,10456
A_dice,A_dice_s1,1,swa_tta,12,0.82562,0.84002,52.0,1217.906,8712
A_dice,A_dice_s1,1,swa_tta,13,0.82011,0.80058,73.0,1351.478,10186
A_dice,A_dice_s1,1,swa_tta,14,0.83173,0.8474,63.0,3456.676,8358
A_dice,A_dice_s1,1,swa_tta,15,0.81338,0.84031,51.0,3011.995,7651
A_dice,A_dice_s1,1,swa_tta,16,0.8389,0.87021,64.0,3362.114,8812
A_dice,A_dice_s1,1,swa_tta,17,0.80877,0.82513,70.0,1048.226,7984
A_dice,A_dice_s1,1,swa_tta,18,0.82356,0.87215,43.0,3160.941,7659
A_dice,A_dice_s1,1,swa_tta,19,0.87036,0.89188,60.0,4681.965,8476
A_dice,A_dice_s1,1,swa_tta,20,0.81771,0.84831,74.0,1039.925,7373
A_dice,A_dice_s2,2,rule_i,01,0.82706,0.86729,55.0,4399.961,9312
A_dice,A_dice_s2,2,rule_i,02,0.84991,0.85831,72.0,5033.005,9289
A_dice,A_dice_s2,2,rule_i,03,0.79602,0.78737,94.0,867.483,9221
A_dice,A_dice_s2,2,rule_i,04,0.83215,0.80643,48.0,2862.542,8926
A_dice,A_dice_s2,2,rule_i,05,0.80651,0.78893,57.0,2922.051,9586
A_dice,A_dice_s2,2,rule_i,06,0.80005,0.77842,78.0,1360.871,9989
A_dice,A_dice_s2,2,rule_i,07,0.81333,0.80782,89.0,2723.009,8968
A_dice,A_dice_s2,2,rule_i,08,0.79154,0.79155,87.0,501.383,8585
A_dice,A_dice_s2,2,rule_i,09,0.80322,0.81013,62.0,1277.257,8726
A_dice,A_dice_s2,2,rule_i,10,0.80746,0.79233,78.0,2424.756,9137
A_dice,A_dice_s2,2,rule_i,11,0.81208,0.79383,76.0,3278.974,10456
A_dice,A_dice_s2,2,rule_i,12,0.8253,0.84626,63.0,1435.15,8712
A_dice,A_dice_s2,2,rule_i,13,0.82022,0.81096,82.0,1550.385,10186
A_dice,A_dice_s2,2,rule_i,14,0.82343,0.83758,71.0,4037.749,8358
A_dice,A_dice_s2,2,rule_i,15,0.80293,0.83271,106.0,3797.856,7651
A_dice,A_dice_s2,2,rule_i,16,0.84329,0.88159,68.0,2280.934,8812
A_dice,A_dice_s2,2,rule_i,17,0.81801,0.84454,66.0,1232.484,7984
A_dice,A_dice_s2,2,rule_i,18,0.82185,0.87735,78.0,3493.63,7659
A_dice,A_dice_s2,2,rule_i,19,0.85666,0.88291,64.0,5049.827,8476
A_dice,A_dice_s2,2,rule_i,20,0.81223,0.84874,84.0,1485.142,7373
A_dice,A_dice_s2,2,rule_iv,01,0.82706,0.86729,55.0,4399.961,9312
A_dice,A_dice_s2,2,rule_iv,02,0.84991,0.85831,72.0,5033.005,9289
A_dice,A_dice_s2,2,rule_iv,03,0.79602,0.78737,94.0,867.483,9221
A_dice,A_dice_s2,2,rule_iv,04,0.83215,0.80643,48.0,2862.542,8926
A_dice,A_dice_s2,2,rule_iv,05,0.80651,0.78893,57.0,2922.051,9586
A_dice,A_dice_s2,2,rule_iv,06,0.80005,0.77842,78.0,1360.871,9989
A_dice,A_dice_s2,2,rule_iv,07,0.81333,0.80782,89.0,2723.009,8968
A_dice,A_dice_s2,2,rule_iv,08,0.79154,0.79155,87.0,501.383,8585
A_dice,A_dice_s2,2,rule_iv,09,0.80322,0.81013,62.0,1277.257,8726
A_dice,A_dice_s2,2,rule_iv,10,0.80746,0.79233,78.0,2424.756,9137
A_dice,A_dice_s2,2,rule_iv,11,0.81208,0.79383,76.0,3278.974,10456
A_dice,A_dice_s2,2,rule_iv,12,0.8253,0.84626,63.0,1435.15,8712
A_dice,A_dice_s2,2,rule_iv,13,0.82022,0.81096,82.0,1550.385,10186
A_dice,A_dice_s2,2,rule_iv,14,0.82343,0.83758,71.0,4037.749,8358
A_dice,A_dice_s2,2,rule_iv,15,0.80293,0.83271,106.0,3797.856,7651
A_dice,A_dice_s2,2,rule_iv,16,0.84329,0.88159,68.0,2280.934,8812
A_dice,A_dice_s2,2,rule_iv,17,0.81801,0.84454,66.0,1232.484,7984
A_dice,A_dice_s2,2,rule_iv,18,0.82185,0.87735,78.0,3493.63,7659
A_dice,A_dice_s2,2,rule_iv,19,0.85666,0.88291,64.0,5049.827,8476
A_dice,A_dice_s2,2,rule_iv,20,0.81223,0.84874,84.0,1485.142,7373
A_dice,A_dice_s2,2,tta_i,01,0.83599,0.87434,43.0,4153.78,9312
A_dice,A_dice_s2,2,tta_i,02,0.85706,0.86258,54.0,4806.438,9289
A_dice,A_dice_s2,2,tta_i,03,0.80016,0.79293,73.0,684.754,9221
A_dice,A_dice_s2,2,tta_i,04,0.83115,0.80321,39.0,2927.511,8926
A_dice,A_dice_s2,2,tta_i,05,0.8064,0.78404,51.0,2254.529,9586
A_dice,A_dice_s2,2,tta_i,06,0.79147,0.76293,61.0,2432.285,9989
A_dice,A_dice_s2,2,tta_i,07,0.81856,0.81037,51.0,2543.073,8968
A_dice,A_dice_s2,2,tta_i,08,0.79274,0.78259,61.0,555.98,8585
A_dice,A_dice_s2,2,tta_i,09,0.80619,0.80822,57.0,1029.157,8726
A_dice,A_dice_s2,2,tta_i,10,0.80921,0.7834,59.0,2651.637,9137
A_dice,A_dice_s2,2,tta_i,11,0.81293,0.78423,46.0,3397.494,10456
A_dice,A_dice_s2,2,tta_i,12,0.82632,0.84362,54.0,1122.219,8712
