config,run,epoch,seed,condition,radius_px,image,erl,skel_px,dice,foreground
A_dice,A_dice_s3,10,3,oracle_sever,0,01,4799.968,9312,0.83194,33305
A_dice,A_dice_s3,10,3,oracle_all,0,01,8944.818,9312,0.85095,34343
A_dice,A_dice_s3,10,3,raw,0,02,4791.351,9289,0.85358,34642
A_dice,A_dice_s3,10,3,closing,6,02,5623.292,9289,0.76162,45635
A_dice,A_dice_s3,10,3,closing_fair,1,02,4929.776,9289,0.85255,34931
A_dice,A_dice_s3,10,3,oracle_sever,0,02,5222.248,9289,0.85523,34741
A_dice,A_dice_s3,10,3,oracle_all,0,02,9161.659,9289,0.87497,35943
A_dice,A_dice_s3,10,3,raw,0,03,502.133,9221,0.79698,28933
A_dice,A_dice_s3,10,3,closing,6,03,1617.004,9221,0.75868,36897
A_dice,A_dice_s3,10,3,closing_fair,1,03,1078.922,9221,0.79948,29270
A_dice,A_dice_s3,10,3,oracle_sever,0,03,1042.87,9221,0.8035,29270
A_dice,A_dice_s3,10,3,oracle_all,0,03,9221.0,9221,0.84407,31452
A_dice,A_dice_s3,10,3,raw,0,04,3361.995,8926,0.82975,28741
A_dice,A_dice_s3,10,3,closing,6,04,3802.438,8926,0.76675,36184
A_dice,A_dice_s3,10,3,closing_fair,1,04,3373.045,8926,0.82972,28888
A_dice,A_dice_s3,10,3,oracle_sever,0,04,3660.343,8926,0.83309,28910
A_dice,A_dice_s3,10,3,oracle_all,0,04,8926.0,8926,0.87298,31008
A_dice,A_dice_s3,10,3,raw,0,05,2903.838,9586,0.81063,27082
A_dice,A_dice_s3,10,3,closing,6,05,3610.166,9586,0.75459,34715
A_dice,A_dice_s3,10,3,closing_fair,1,05,3005.432,9586,0.81073,27309
A_dice,A_dice_s3,10,3,oracle_sever,0,05,3474.178,9586,0.81667,27378
A_dice,A_dice_s3,10,3,oracle_all,0,05,9582.001,9586,0.86448,29832
A_dice,A_dice_s3,10,3,raw,0,06,2733.121,9989,0.80196,27194
A_dice,A_dice_s3,10,3,closing,6,06,3578.784,9989,0.73791,36806
A_dice,A_dice_s3,10,3,closing_fair,1,06,2830.436,9989,0.80217,27375
A_dice,A_dice_s3,10,3,oracle_sever,0,06,3477.079,9989,0.81076,27633
