run,trained_on,scored_against,image,band,breaks,gt_px,dice,cldice,tprec,tsens
soft_f0_s0,soft,ah,im0291,Q1_dimmest,77,5612,0.57338,0.60789,0.75595,0.50833
soft_f0_s0,soft,ah,im0291,Q2,25,6266,0.83153,0.88107,0.8953,0.86729
soft_f0_s0,soft,ah,im0291,Q3,9,5570,0.94585,0.96916,0.97087,0.96745
soft_f0_s0,soft,ah,im0291,Q4_clearest,0,3970,0.99497,0.999,0.999,0.999
soft_f0_s0,soft,vk,im0291,Q1_dimmest,101,8426,0.44713,0.41053,0.79643,0.27654
soft_f0_s0,soft,vk,im0291,Q2,38,7773,0.81578,0.81621,0.95726,0.71138
soft_f0_s0,soft,vk,im0291,Q3,4,5973,0.96237,0.9727,0.99055,0.95547
soft_f0_s0,soft,vk,im0291,Q4_clearest,0,3978,0.99573,0.999,0.99801,1.0
soft_f0_s0,soft,ah,im0319,Q1_dimmest,105,3917,0.47052,0.52621,0.53655,0.51626
soft_f0_s0,soft,ah,im0319,Q2,42,6569,0.77398,0.85626,0.837,0.87644
soft_f0_s0,soft,ah,im0319,Q3,10,5701,0.91779,0.95279,0.93137,0.97522
soft_f0_s0,soft,ah,im0319,Q4_clearest,0,2058,0.99037,0.98885,0.97795,1.0
soft_f0_s0,soft,vk,im0319,Q1_dimmest,143,8846,0.37742,0.39033,0.80418,0.25771
soft_f0_s0,soft,vk,im0319,Q2,64,9216,0.77344,0.82679,0.95335,0.72989
soft_f0_s0,soft,vk,im0319,Q3,6,6429,0.94985,0.96618,0.97598,0.95658
soft_f0_s0,soft,vk,im0319,Q4_clearest,0,2090,0.99809,1.0,1.0,1.0
soft_f0_s0,soft,ah,im0324,Q1_dimmest,65,6617,0.36495,0.47878,0.6234,0.38863
soft_f0_s0,soft,ah,im0324,Q2,88,8846,0.63099,0.68953,0.73062,0.65282
soft_f0_s0,soft,ah,im0324,Q3,29,8400,0.82172,0.90317,0.9117,0.8948
soft_f0_s0,soft,ah,im0324,Q4_clearest,2,4398,0.95237,0.97609,0.9907,0.96192
soft_f0_s0,soft,vk,im0324,Q1_dimmest,167,14643,0.27321,0.25419,0.83595,0.14988
soft_f0_s0,soft,vk,im0324,Q2,106,13140,0.60175,0.57161,0.87992,0.42329
soft_f0_s0,soft,vk,im0324,Q3,28,9911,0.84182,0.87711,0.97241,0.79882
soft_f0_s0,soft,vk,im0324,Q4_clearest,2,4515,0.96625,0.97635,1.0,0.95379
ah_f1_s0,ah,ah,im0001,Q1_dimmest,61,6093,0.4747,0.48612,0.64923,0.38852
ah_f1_s0,ah,ah,im0001,Q2,96,10500,0.73056,0.77026,0.86459,0.69449
ah_f1_s0,ah,ah,im0001,Q3,25,11550,0.88477,0.92632,0.9098,0.94344
ah_f1_s0,ah,ah,im0001,Q4_clearest,1,5656,0.89941,0.9235,0.86155,0.99506
ah_f1_s0,ah,vk,im0001,Q1_dimmest,123,9234,0.36946,0.30687,0.67692,0.19841
ah_f1_s0,ah,vk,im0001,Q2,130,12108,0.67503,0.65798,0.78612,0.56575
ah_f1_s0,ah,vk,im0001,Q3,27,12167,0.88805,0.89704,0.88836,0.90588
ah_f1_s0,ah,vk,im0001,Q4_clearest,1,5662,0.89658,0.91233,0.84946,0.98526
ah_f1_s0,ah,ah,im0002,Q1_dimmest,79,8592,0.53147,0.53036,0.77298,0.40366
ah_f1_s0,ah,ah,im0002,Q2,45,8647,0.82447,0.87192,0.92995,0.82071
ah_f1_s0,ah,ah,im0002,Q3,9,7079,0.91681,0.94003,0.93708,0.94299
ah_f1_s0,ah,ah,im0002,Q4_clearest,3,3887,0.90209,0.93865,0.88924,0.99388
ah_f1_s0,ah,vk,im0002,Q1_dimmest,130,6605,0.43823,0.39048,0.55629,0.30082
ah_f1_s0,ah,vk,im0002,Q2,56,6775,0.74106,0.77051,0.75431,0.78742
ah_f1_s0,ah,vk,im0002,Q3,12,6462,0.86983,0.90249,0.89493,0.91018
ah_f1_s0,ah,vk,im0002,Q4_clearest,2,3673,0.87086,0.91018,0.84256,0.98959
ah_f1_s0,ah,ah,im0003,Q1_dimmest,37,2241,0.4486,0.39903,0.46721,0.34821
ah_f1_s0,ah,ah,im0003,Q2,50,4762,0.67629,0.66523,0.73222,0.60948
ah_f1_s0,ah,ah,im0003,Q3,18,8026,0.80247,0.84366,0.80932,0.88105
ah_f1_s0,ah,ah,im0003,Q4_clearest,3,10316,0.90217,0.94564,0.91163,0.9823
ah_f1_s0,ah,vk,im0003,Q1_dimmest,106,4263,0.25476,0.15181,0.4153,0.09288
ah_f1_s0,ah,vk,im0003,Q2,57,4397,0.51779,0.46781,0.57322,0.39515
ah_f1_s0,ah,vk,im0003,Q3,28,6538,0.66962,0.68582,0.64301,0.73473
ah_f1_s0,ah,vk,im0003,Q4_clearest,6,9209,0.84257,0.90311,0.84564,0.96896
