run,trained_on,image,band,n_structures,median_length,contested_frac,crossed_frac,auroc,hesitation_contested,hesitation_agreed,prob_contested,prob_agreed
ah_f1_s0,ah,im0001,Q3,84,24.0,0.11905,0.53571,0.89324,0.42153,0.05263,0.73118,0.97369
ah_f1_s0,ah,im0001,Q4_clearest,43,22.0,0.09302,0.37209,0.78205,0.08792,0.01821,0.95604,0.9909
ah_f1_s0,ah,im0002,Q1_dimmest,47,11.0,0.61702,0.25532,0.7931,0.48125,0.1776,0.70572,0.90748
ah_f1_s0,ah,im0002,Q2,42,37.0,0.2619,0.57143,0.74487,0.25407,0.11038,0.84845,0.94131
ah_f1_s0,ah,im0002,Q3,39,23.0,0.05128,0.48718,0.63514,0.0996,0.07903,0.9502,0.96049
ah_f1_s0,ah,im0002,Q4_clearest,37,16.0,0.10811,0.48649,0.76515,0.21684,0.02787,0.82554,0.98606
ah_f1_s0,ah,im0003,Q1_dimmest,19,5.0,0.63158,0.05263,0.47619,0.39326,0.45636,0.78693,0.55428
ah_f1_s0,ah,im0003,Q2,40,9.5,0.525,0.1,0.76692,0.33947,0.13857,0.75425,0.93072
ah_f1_s0,ah,im0003,Q3,62,20.0,0.41935,0.35484,0.83547,0.2315,0.07907,0.88343,0.95298
ah_f1_s0,ah,im0003,Q4_clearest,66,25.5,0.19697,0.5,0.80842,0.07029,0.01869,0.92067,0.99066
ah_f1_s0,ah,im0004,Q1_dimmest,51,15.0,0.4902,0.15686,0.67692,0.43279,0.25778,0.73872,0.76484
ah_f1_s0,ah,im0004,Q2,52,35.0,0.23077,0.48077,0.62083,0.19059,0.06885,0.81555,0.96558
ah_f1_s0,ah,im0004,Q3,18,66.0,0.05556,0.83333,0.94118,0.10132,0.02829,0.94934,0.98585
ah_f1_s0,ah,im0005,Q1_dimmest,21,7.0,0.90476,0.0,0.60526,0.62139,0.58319,0.58129,0.64035
ah_f1_s0,ah,im0005,Q2,77,12.0,0.46753,0.25974,0.69783,0.31518,0.1893,0.76624,0.89926
ah_f1_s0,ah,im0005,Q3,84,23.0,0.30952,0.42857,0.63727,0.22883,0.13152,0.87439,0.92638
ah_f1_s0,ah,im0005,Q4_clearest,130,17.0,0.2,0.41538,0.66864,0.17157,0.03865,0.91421,0.97989
ah_f1_s0,ah,im0044,Q1_dimmest,17,4.0,0.52941,0.0,0.70833,0.54188,0.30805,0.58902,0.75407
ah_f1_s0,ah,im0044,Q2,54,6.0,0.2963,0.11111,0.71382,0.59651,0.37203,0.62734,0.75089
ah_f1_s0,ah,im0044,Q3,85,18.0,0.15294,0.37647,0.88675,0.40522,0.08799,0.74213,0.93684
ah_f1_s0,ah,im0044,Q4_clearest,72,22.5,0.13889,0.51389,0.75968,0.22375,0.03273,0.868,0.98363
ah_f1_s0,ah,im0077,Q1_dimmest,25,4.0,0.52,0.04,0.73718,0.58769,0.32867,0.6331,0.8021
ah_f1_s0,ah,im0077,Q2,57,12.0,0.70175,0.15789,0.84265,0.50471,0.1651,0.62955,0.91497
ah_f1_s0,ah,im0077,Q3,76,22.0,0.25,0.38158,0.84026,0.37137,0.08979,0.76983,0.94561
ah_f1_s0,ah,im0077,Q4_clearest,151,26.0,0.04636,0.43046,0.93056,0.33294,0.03694,0.83353,0.98153
ah_f1_s0,ah,im0081,Q1_dimmest,18,2.0,0.55556,0.05556,0.8125,0.66403,0.29068,0.53743,0.78313
