run,config,dataset,image,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95,erl,erl_ceiling,breaks,severs
A_dice_s5,A_dice,stare,im0002,0.7190123283340943,0.7542233756768951,107,10,109,2,22.20360331117452,2087.71,7020.85,132,22
A_dice_s5,A_dice,stare,im0003,0.7076471288543196,0.7415702983483201,125,10,134,9,19.235384061671343,670.71,4712.73,113,30
A_dice_s5,A_dice,stare,im0004,0.58727909631204,0.6961878885876045,166,15,177,11,29.0,159.71,2264.78,138,26
A_dice_s5,A_dice,stare,im0005,0.7435913397492561,0.7721601085756992,225,3,234,9,25.079872407968907,622.15,2831.52,108,23
A_dice_s5,A_dice,stare,im0044,0.705834365652476,0.7328665441958107,260,4,276,16,25.238858928247925,572.48,1471.06,114,29
A_dice_s5,A_dice,stare,im0077,0.7613391445950477,0.8154195152883841,128,5,135,7,11.518821543405272,2909.15,7243.06,66,5
A_dice_s5,A_dice,stare,im0081,0.7292605684700193,0.7801390441256725,176,6,179,3,19.849433241279208,2778.22,4825.14,65,13
A_dice_s5,A_dice,stare,im0082,0.7627433043655029,0.8130156644994974,146,10,154,8,13.0,2287.42,6053.12,107,7
A_dice_s5,A_dice,stare,im0139,0.768922305764411,0.8009349347746039,176,16,180,4,13.416407864998739,891.93,8206.02,127,23
A_dice_s5,A_dice,stare,im0162,0.7711390866699251,0.8217946565943537,149,19,153,4,9.486832980505138,7840.51,10366.0,139,8
A_dice_s5,A_dice,stare,im0163,0.7664969526723684,0.8245360594406463,128,2,129,1,15.0,5473.21,8302.0,77,5
A_dice_s5,A_dice,stare,im0235,0.7861116630240413,0.8303237802528485,142,15,151,9,8.246211251235321,1595.28,7740.86,145,18
A_dice_s5,A_dice,stare,im0236,0.7768179001024526,0.8260500162543724,151,16,154,3,12.206555615733702,1618.47,7869.82,136,22
A_dice_s5,A_dice,stare,im0239,0.6865824750128228,0.7678691226210956,174,37,177,3,19.4164878389476,1005.64,8654.32,158,21
A_dice_s5,A_dice,stare,im0240,0.6892858038782831,0.7659528592833229,147,26,154,7,20.808652046684813,694.53,3646.87,136,24
A_dice_s5,A_dice,stare,im0255,0.8179370708160869,0.8312159875291749,163,33,166,3,8.94427190999916,7026.01,10587.03,203,6
A_dice_s5,A_dice,stare,im0291,0.7643077210344505,0.7802206975193503,99,10,104,5,49.6653780235748,461.08,4590.45,106,12
A_dice_s5,A_dice,stare,im0319,0.6422170594092267,0.690183353647992,138,16,145,7,31.78049716414141,147.5,2075.24,124,38
A_dice_s5,A_dice,stare,im0324,0.3622641509433962,0.461049764051224,116,12,121,5,65.62011886609167,37.29,3671.72,66,19
B_cldice_s0,B_cldice,stare,im0001,0.6949469557540662,0.7746565436910829,123,11,127,4,12.825623627378846,899.75,7318.51,129,25
B_cldice_s0,B_cldice,stare,im0002,0.7434115262090936,0.7727835819634262,79,15,81,2,18.110770276274835,1132.6,7020.85,144,24
B_cldice_s0,B_cldice,stare,im0003,0.7391513889692133,0.7825004789742811,103,12,112,9,14.7648230602334,756.56,4712.73,108,26
