run,trained_on,image,band,n_structures,median_length,contested_frac,crossed_frac,auroc,hesitation_contested,hesitation_agreed,prob_contested,prob_agreed
ah_f1_s0,ah,im0003,Q4_clearest,66,25.5,0.18182,0.0,0.95216,0.05612,0.00262,0.92408,0.99869
ah_f1_s0,ah,im0004,Q1_dimmest,51,15.0,0.4902,0.0,0.66154,0.43263,0.26828,0.73879,0.75959
ah_f1_s0,ah,im0004,Q2,52,35.0,0.28846,0.0,0.6973,0.16933,0.06421,0.84401,0.96789
ah_f1_s0,ah,im0004,Q3,18,66.0,0.05556,0.0,0.88235,0.03289,0.01981,0.98355,0.99009
ah_f1_s0,ah,im0005,Q1_dimmest,21,7.0,0.90476,0.0,0.60526,0.62139,0.58319,0.58129,0.64035
ah_f1_s0,ah,im0005,Q2,77,12.0,0.45455,0.0,0.70748,0.3214,0.18837,0.76096,0.89987
ah_f1_s0,ah,im0005,Q3,82,23.0,0.29268,0.0,0.66595,0.25031,0.12425,0.86272,0.93001
ah_f1_s0,ah,im0005,Q4_clearest,130,17.0,0.2,0.0,0.71857,0.17155,0.02598,0.91422,0.98622
ah_f1_s0,ah,im0044,Q1_dimmest,17,4.0,0.52941,0.0,0.70833,0.54188,0.30805,0.58902,0.75407
ah_f1_s0,ah,im0044,Q2,54,6.0,0.31481,0.0,0.67886,0.56901,0.38381,0.64547,0.7433
ah_f1_s0,ah,im0044,Q3,85,18.0,0.15294,0.0,0.89637,0.40522,0.08381,0.74213,0.93893
ah_f1_s0,ah,im0044,Q4_clearest,71,22.0,0.12676,0.0,0.80645,0.22377,0.0244,0.86575,0.9878
ah_f1_s0,ah,im0077,Q1_dimmest,25,4.0,0.52,0.0,0.73718,0.58769,0.32228,0.6331,0.80529
ah_f1_s0,ah,im0077,Q2,57,12.0,0.68421,0.0,0.83476,0.517,0.17891,0.62038,0.90819
ah_f1_s0,ah,im0077,Q3,76,22.0,0.25,0.0,0.8458,0.36932,0.08583,0.77086,0.94759
ah_f1_s0,ah,im0077,Q4_clearest,151,26.0,0.03974,0.0,0.96897,0.37787,0.02508,0.81107,0.98746
ah_f1_s0,ah,im0081,Q1_dimmest,18,2.0,0.55556,0.0,0.8125,0.66403,0.27727,0.53743,0.78984
ah_f1_s0,ah,im0081,Q2,50,9.0,0.6,0.0,0.77833,0.5113,0.24812,0.67894,0.86281
ah_f1_s0,ah,im0081,Q3,103,22.0,0.18447,0.0,0.87782,0.34536,0.08773,0.7419,0.95389
ah_f1_s0,ah,im0081,Q4_clearest,119,25.0,0.04202,0.0,0.99825,0.39626,0.00604,0.76957,0.99698
ah_f1_s0,ah,im0082,Q1_dimmest,21,6.0,0.71429,0.0,0.81111,0.54978,0.23611,0.70687,0.88195
ah_f1_s0,ah,im0082,Q2,70,6.5,0.48571,0.0,0.74673,0.53071,0.27683,0.62747,0.84439
ah_f1_s0,ah,im0082,Q3,86,21.0,0.15116,0.0,0.8451,0.45962,0.16081,0.72526,0.90312
ah_f1_s0,ah,im0082,Q4_clearest,122,28.0,0.01639,0.0,0.99583,0.58366,0.01819,0.64261,0.99091
ah_f1_s0,ah,im0139,Q1_dimmest,49,4.0,0.42857,0.0,0.62755,0.57829,0.41323,0.64792,0.75193
ah_f1_s0,ah,im0139,Q2,96,14.0,0.36458,0.0,0.77143,0.37763,0.17716,0.74666,0.89047
ah_f1_s0,ah,im0139,Q3,88,22.0,0.06818,0.0,0.96138,0.58257,0.06252,0.64068,0.96046
ah_f1_s0,ah,im0139,Q4_clearest,80,23.5,0.0375,0.0,0.96104,0.08287,0.01283,0.95856,0.99359
vk_f1_s0,vk,im0001,Q1_dimmest,65,9.0,0.47692,0.0,0.66888,0.47682,0.33898,0.71004,0.81014
vk_f1_s0,vk,im0001,Q2,110,14.5,0.31818,0.0,0.69029,0.31617,0.15283,0.78432,0.90981
vk_f1_s0,vk,im0001,Q3,126,18.0,0.11111,0.0,0.85523,0.14409,0.04286,0.86939,0.9751
vk_f1_s0,vk,im0001,Q4_clearest,61,14.0,0.04918,0.0,0.99425,0.3627,0.00213,0.50061,0.99893
vk_f1_s0,vk,im0002,Q1_dimmest,60,18.5,0.71667,0.0,0.65527,0.30956,0.2074,0.81051,0.87486
vk_f1_s0,vk,im0002,Q2,69,26.0,0.37681,0.0,0.87567,0.28283,0.05053,0.83479,0.96043
vk_f1_s0,vk,im0002,Q3,55,19.0,0.16364,0.0,0.93478,0.40636,0.03488,0.66994,0.98256
vk_f1_s0,vk,im0002,Q4_clearest,35,21.0,0.11429,0.0,0.78226,0.19914,0.01289,0.841,0.99355
vk_f1_s0,vk,im0003,Q1_dimmest,25,17.0,0.72,0.0,0.61111,0.29025,0.20869,0.83194,0.89565
vk_f1_s0,vk,im0003,Q2,60,15.5,0.61667,0.0,0.95652,0.32014,0.0058,0.8065,0.9971
vk_f1_s0,vk,im0003,Q3,75,17.0,0.50667,0.0,0.8357,0.21686,0.03172,0.88501,0.98414
vk_f1_s0,vk,im0003,Q4_clearest,109,14.0,0.07339,0.0,0.9146,0.05587,0.00243,0.89794,0.99878
